year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state,total_man_by_state,total_woman_by_state
2005,Guanajuato,M s de 2 hasta 3 s.m.,604942,590471,14471,0,0,0
2005,Guanajuato,M s de 3 hasta 5 s.m.,1809367,1186471,622896,0,0,0
2005,Guanajuato,M s de 5 hasta 10 s.m.,272621,202879,69742,0,0,0
2005,Guanajuato,No especificado,32572,22644,9928,0,0,0
2005,Guanajuato,No recibe ingresos,205890,185282,20608,0,0,0
2005,Guerrero,1 salario m¡nimo,4557,4017,540,0,0,0
2005,Guerrero,Menos de 1 s.m.,1363224,1199056,164168,0,0,0
2005,Guerrero,M s de 1 hasta 2 s.m.,11583,11379,204,0,0,0
2005,Guerrero,M s de 10 s.m.,679477,244177,435300,0,0,0
2005,Guerrero,M s de 2 hasta 3 s.m.,367203,361419,5784,0,0,0
2005,Guerrero,M s de 3 hasta 5 s.m.,475501,197985,277516,0,0,0
2005,Guerrero,M s de 5 hasta 10 s.m.,90057,69337,20720,0,0,0
2005,Guerrero,No especificado,22613,14169,8444,0,0,0
2005,Guerrero,No recibe ingresos,183591,179652,3939,0,0,0
2005,Hidalgo,1 salario m¡nimo,14494,14494,0,0,0,0
2005,Hidalgo,Menos de 1 s.m.,997895,804160,193735,0,0,0
2005,Hidalgo,M s de 1 hasta 2 s.m.,16623,14208,2415,0,0,0
2005,Hidalgo,M s de 10 s.m.,674046,297455,376591,0,0,0
2005,Hidalgo,M s de 2 hasta 3 s.m.,321051,315395,5656,0,0,0
2005,Hidalgo,M s de 3 hasta 5 s.m.,628898,366647,262251,0,0,0
2005,Hidalgo,M s de 5 hasta 10 s.m.,78030,63171,14859,0,0,0
2005,Hidalgo,No especificado,23294,11340,11954,0,0,0
2005,Hidalgo,No recibe ingresos,114824,110167,4657,0,0,0
2005,Jalisco,1 salario m¡nimo,6265,5999,266,0,0,0
2005,Jalisco,Menos de 1 s.m.,1220570,1016892,203678,0,0,0
2005,Jalisco,M s de 1 hasta 2 s.m.,34066,26089,7977,0,0,0
2005,Jalisco,M s de 10 s.m.,2126076,1014341,1111735,0,0,0
2005,Jalisco,M s de 2 hasta 3 s.m.,918876,900769,18107,0,0,0
2005,Jalisco,M s de 3 hasta 5 s.m.,2293818,1393744,900074,0,0,0
2005,Jalisco,M s de 5 hasta 10 s.m.,335880,257001,78879,0,0,0
2005,Jalisco,No especificado,72049,51186,20863,0,0,0
2005,Jalisco,No recibe ingresos,380103,334518,45585,0,0,0
2005,Michoac n,1 salario m¡nimo,2696,2696,0,0,0,0
2005,Michoac n,Menos de 1 s.m.,1340985,1134775,206210,0,0,0
2005,Michoac n,M s de 1 hasta 2 s.m.,36080,29295,6785,0,0,0
2005,Michoac n,M s de 10 s.m.,1145443,468741,676702,0,0,0
2005,Michoac n,M s de 2 hasta 3 s.m.,474941,470113,4828,0,0,0
2005,Michoac n,M s de 3 hasta 5 s.m.,966032,563544,402488,0,0,0
2005,Michoac n,M s de 5 hasta 10 s.m.,193430,149618,43812,0,0,0
2005,Michoac n,No especificado,27169,14275,12894,0,0,0
2005,Michoac n,No recibe ingresos,251590,234681,16909,0,0,0
2005,Morelos,1 salario m¡nimo,4909,3755,1154,0,0,0
2005,Morelos,Menos de 1 s.m.,352219,319901,32318,0,0,0
2005,Morelos,M s de 1 hasta 2 s.m.,11876,9673,2203,0,0,0
2005,Morelos,M s de 10 s.m.,489074,207077,281997,0,0,0
2005,Morelos,M s de 2 hasta 3 s.m.,276748,272931,3817,0,0,0
2005,Morelos,M s de 3 hasta 5 s.m.,318541,185905,132636,0,0,0
