year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
2017,Nacional,M s de 2 hasta 3 s.m.,17112136,16518435,593701,130071944,92090948,37980996,96.531,3.469,0
2017,Nacional,M s de 3 hasta 5 s.m.,34765352,21748059,13017293,130071944,92090948,37980996,62.557,37.443,0
2017,Nacional,M s de 5 hasta 10 s.m.,5862654,4348779,1513875,130071944,92090948,37980996,74.178,25.822,0
2017,Nacional,No especificado,1606170,1050883,555287,130071944,92090948,37980996,65.428,34.572,0
2017,Nacional,No recibe ingresos,9068954,8288579,780375,130071944,92090948,37980996,91.395,8.605,0
2017,Nayarit,1 salario m¡nimo,3374,2269,1105,1366797,961099,405698,67.25,32.75,0
2017,Nayarit,Menos de 1 s.m.,458948,421433,37515,1366797,961099,405698,91.826,8.174,0
2017,Nayarit,M s de 1 hasta 2 s.m.,8671,7078,1593,1366797,961099,405698,81.628,18.372,0
2017,Nayarit,M s de 10 s.m.,397110,146261,250849,1366797,961099,405698,36.831,63.169,0
2017,Nayarit,M s de 2 hasta 3 s.m.,175439,169596,5843,1366797,961099,405698,96.669,3.331,0
2017,Nayarit,M s de 3 hasta 5 s.m.,179770,97046,82724,1366797,961099,405698,53.983,46.017,0
2017,Nayarit,M s de 5 hasta 10 s.m.,60574,46531,14043,1366797,961099,405698,76.817,23.183,0
2017,Nayarit,No especificado,14548,7804,6744,1366797,961099,405698,53.643,46.357,0
2017,Nayarit,No recibe ingresos,68363,63081,5282,1366797,961099,405698,92.274,7.726,0
2017,Nuevo Le¢n,1 salario m¡nimo,11512,10250,1262,5642476,4055219,1587257,89.038,10.962,0
2017,Nuevo Le¢n,Menos de 1 s.m.,153142,140890,12252,5642476,4055219,1587257,92,8,0
2017,Nuevo Le¢n,M s de 1 hasta 2 s.m.,48702,44575,4127,5642476,4055219,1587257,91.526,8.474,0
2017,Nuevo Le¢n,M s de 10 s.m.,1333691,647520,686171,5642476,4055219,1587257,48.551,51.449,0
2017,Nuevo Le¢n,M s de 2 hasta 3 s.m.,827773,773856,53917,5642476,4055219,1587257,93.486,6.514,0
2017,Nuevo Le¢n,M s de 3 hasta 5 s.m.,2281379,1639449,641930,5642476,4055219,1587257,71.862,28.138,0
2017,Nuevo Le¢n,M s de 5 hasta 10 s.m.,384299,269496,114803,5642476,4055219,1587257,70.127,29.873,0
2017,Nuevo Le¢n,No especificado,87648,63491,24157,5642476,4055219,1587257,72.439,27.561,0
2017,Nuevo Le¢n,No recibe ingresos,514330,465692,48638,5642476,4055219,1587257,90.543,9.457,0
2017,Oaxaca,1 salario m¡nimo,15279,15208,71,4751642,3250197,1501445,99.535,0.465,0
2017,Oaxaca,Menos de 1 s.m.,2174343,1881014,293329,4751642,3250197,1501445,86.51,13.49,0
2017,Oaxaca,M s de 1 hasta 2 s.m.,10382,6768,3614,4751642,3250197,1501445,65.19,34.81,0
2017,Oaxaca,M s de 10 s.m.,891384,281974,609410,4751642,3250197,1501445,31.633,68.367,0
2017,Oaxaca,M s de 2 hasta 3 s.m.,437669,430409,7260,4751642,3250197,1501445,98.341,1.659,0
2017,Oaxaca,M s de 3 hasta 5 s.m.,878670,322404,556266,4751642,3250197,1501445,36.692,63.308,0
2017,Oaxaca,M s de 5 hasta 10 s.m.,89092,72125,16967,4751642,3250197,1501445,80.956,19.044,0
2017,Oaxaca,No especificado,12144,8900,3244,4751642,3250197,1501445,73.287,26.713,0
2017,Oaxaca,No recibe ingresos,242679,231395,11284,4751642,3250197,1501445,95.35,4.65,0
2017,Puebla,1 salario m¡nimo,13580,13194,386,7731637,5283234,2448403,97.158,2.842,0
2017,Puebla,Menos de 1 s.m.,2506184,1976707,529477,7731637,5283234,2448403,78.873,21.127,0
2017,Puebla,M s de 1 hasta 2 s.m.,32356,25902,6454,7731637,5283234,2448403,80.053,19.947,0
2017,Puebla,M s de 10 s.m.,1684460,708062,976398,7731637,5283234,2448403,42.035,57.965,0
2017,Puebla,M s de 2 hasta 3 s.m.,889262,868199,21063,7731637,5283234,2448403,97.631,2.369,0
2017,Puebla,M s de 3 hasta 5 s.m.,1956258,1143473,812785,7731637,5283234,2448403,58.452,41.548,0
2017,Puebla,M s de 5 hasta 10 s.m.,252992,187552,65440,7731637,5283234,2448403,74.134,25.866,0
2017,Puebla,No especificado,50077,32576,17501,7731637,5283234,2448403,65.052,34.948,0
2017,Puebla,No recibe ingresos,346468,327569,18899,7731637,5283234,2448403,94.545,5.455,0
